"seccion_censal","lat_centro","lon_centro"
"2807904091",40.43715057,-3.67316065
"2807904092",40.43699438,-3.67467145
"2807904093",40.43601246,-3.67522093
"2807904094",40.43796745,-3.67520339
"2807904095",40.43639646,-3.67699542
"2807904096",40.43667199,-3.67841124
"2807904097",40.43478406,-3.67858191
"2807904098",40.43470627,-3.67711973
"2807904099",40.43437425,-3.67531879
"2807904100",40.43297679,-3.67580008
"2807904101",40.43290496,-3.67423014
"2807904102",40.43177701,-3.67508855
"2807904103",40.43193285,-3.67285672
"2807904104",40.43042013,-3.67144667
"2807904105",40.42903608,-3.67084591
"2807904106",40.42917991,-3.67299435
"2807904107",40.43040455,-3.67289159
"2807904108",40.43051389,-3.67520278
"2807904109",40.42928386,-3.67530633
"2807904110",40.42939642,-3.67757232
"2807904111",40.43027578,-3.67848505
"2807904112",40.43241863,-3.67731328
"2807904113",40.43249396,-3.67877976
"2807904114",40.43024186,-3.68172027
"2807904115",40.43168968,-3.68303928
"2807904116",40.43104367,-3.68579768
"2807904117",40.43076441,-3.68738637
"2807904118",40.43480237,-3.68719819
"2807904119",40.43336875,-3.6846455
"2807904120",40.43322937,-3.68079685
"2807904121",40.43428774,-3.68070691
"2807904123",40.43614139,-3.67991722
"2807904124",40.43620639,-3.68123043
"2807904126",40.43573907,-3.68257474
"2807904127",40.43563206,-3.68486126
"2807904128",40.4369251,-3.68369441
"2807904129",40.43697087,-3.68474408
"2807904130",40.43714709,-3.68773958
"2807905001",40.44024204,-3.68327897
"2807905002",40.44212586,-3.68868572
"2807905003",40.44709929,-3.68681713
"2807905004",40.4498228,-3.69002185
"2807905005",40.45108049,-3.68799074
"2807905006",40.44981019,-3.68630009
"2807905007",40.45067353,-3.68059735
"2807905008",40.44777366,-3.68254959
"2807905009",40.44596379,-3.67953649
"2807905010",40.4434113,-3.68183481
"2807905011",40.44172651,-3.68096659
"2807905012",40.44283067,-3.6794793
"2807905013",40.44060398,-3.67958371
"2807905014",40.43904321,-3.67811121
"2807905015",40.44118513,-3.67754436
"2807905016",40.44199793,-3.6761079
"2807905017",40.44291904,-3.6747396
"2807905018",40.44267863,-3.67355208
"2807905019",40.4441564,-3.67310351
"2807905020",40.44537405,-3.6712234
"2807905021",40.44622008,-3.66939869
"2807905022",40.44728342,-3.66845649
"2807905023",40.44766434,-3.66701769
"2807905024",40.44591048,-3.66746045
"2807905025",40.44452579,-3.66781492
"2807905026",40.44446465,-3.66910803
"2807905027",40.44447415,-3.67042654
"2807905028",40.44310162,-3.671365
"2807905029",40.44139088,-3.67350704
"2807905030",40.44042834,-3.67614639
"2807905031",40.43847619,-3.67665535
"2807905032",40.43975479,-3.67425252
"2807905033",40.44088024,-3.67111734
"2807905034",40.44220578,-3.6687793
"2807905035",40.44306975,-3.66839672
"2807905036",40.44488212,-3.66379791
"2807905037",40.44860207,-3.66519935
"2807905038",40.45079058,-3.669998
"2807905039",40.4485817,-3.66961771
"2807905040",40.44678442,-3.67148054
"2807905041",40.44535104,-3.67315289
"2807905042",40.4441997,-3.67540557
"2807905043",40.44390375,-3.67757881
"2807905044",40.44727438,-3.67674579
"2807905045",40.44641823,-3.67366075
"2807905046",40.44757754,-3.6728404
"2807905047",40.44787974,-3.67456548
"2807905048",40.44838164,-3.67532185
"2807905049",40.45024592,-3.67614126
"2807905051",40.45380154,-3.6732076
"2807905052",40.45302466,-3.67060371
"2807905053",40.45578232,-3.66606924
"2807905054",40.45579637,-3.67027982
"2807905055",40.45783434,-3.66945554
"2807905056",40.45783216,-3.67364899
"2807905057",40.45599445,-3.67291649
"2807905058",40.45427093,-3.67567525
"2807905059",40.4578601,-3.67635079
"2807905060",40.45710613,-3.67746868
"2807905061",40.4572537,-3.67902619
"2807905062",40.453825,-3.67820133
"2807905063",40.45248047,-3.67982678
"2807905064",40.45297044,-3.6826189
"2807905065",40.45526997,-3.67987784
